name,group
Ravenswood Ave & Irving Park Rd,uptown
Clarendon Ave & Junior Ter,uptown
Ashland Ave & Belle Plaine Ave,uptown
Montrose Harbor,uptown
Clarendon Ave & Leland Ave,uptown
Winthrop Ave & Lawrence Ave,uptown
Pine Grove Ave & Irving Park Rd,uptown
Lakefront Trail & Wilson Ave,uptown
Wentworth Ave & 24th St (Temp),chinatown
Burnham Harbor,chinatown
Halsted St & 21st St,chinatown
Rhodes Ave & 32nd St,chinatown
Indiana Ave & 31st St,chinatown
Shields Ave & 28th Pl,chinatown
Shields Ave & 31st St,chinatown
Wentworth Ave & 33rd St,chinatown
State St & 33rd St,chinatown
Indiana Ave & 26th St,chinatown
Lake Park Ave & 35th St,chinatown
Fort Dearborn Dr & 31st St,chinatown
Morgan St & 31st St,chinatown
Calumet Ave & 33rd St,chinatown
Wabash Ave & Cermak Rd,chinatown
May St & Cullerton St,chinatown
State St & 35th St,chinatown
McCormick Place,chinatown
State St & 29th St,chinatown
Halsted St & Archer Ave,chinatown
Emerald Ave & 28th St,chinatown
Calumet Ave & 35th St,chinatown
Normal Ave & Archer Ave,chinatown
Laflin St & Cullerton St,chinatown
Emerald Ave & 31st St,chinatown
MLK Jr Dr & 29th St,chinatown
Loomis St & Archer Ave,chinatown
Ashland Ave & Archer Ave,chinatown
Calumet Ave & 21st St,chinatown
Wentworth Ave & Cermak Rd (Temp),chinatown
